6.24 Ratios,"6.24 a razon, de proporción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires student to solve a problem using ratios with specified scaffolded steps.,Requiere que el estudiante resuelva un problema usando proporciones con pasos específicos con andamios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Your Work,Muestra tu trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answers,Respuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,dadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem 1,Problem1-ESP,Problem 2,Problem2-ESP,Problem 3,Problem3-ESP,Problem 12,Problem12-ESP,Problem 13,Problem13-ESP,Problem 14,Problem14-ESP,Problem 15,Problem15-ESP,Problem 21,Problem21-ESP,Problem 4,Problem4-ESP,Problem 5,Problem5-ESP,Problem 6,Problem6-ESP,Problem 7,Problem7-ESP,Problem 8,Problem8-ESP,Problem 9,Problem9-ESP,Problem 10,Problem10-ESP,Problem 11,Problem11-ESP,Problem 16,Problem16-ESP,Problem 17,Problem17-ESP,Problem 18,Problem18-ESP,Problem 19,Problem19-ESP,Problem 20,Problem20-ESP
%(given_skill2_shown)%,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,,,,,,,,,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada,Solve for given part,Resolver para la parte dada
%(show_work_skill1_shown)%,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,,,,,,,,,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante
%(answer_skill1_shown)%,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,,,,,,,,,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante
%(show_work_skill2_shown)%,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,Show work for total,Mostrar trabajo por total,,,,,,,,,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting one of the givens and  your previous answer.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.
%(answer_skill2_shown)%,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,Solve for total,Resolver para total,,,,,,,,,Please enter '2/3' in the highlighted field.,"Por favor, ingrese '2/3' en el campo resaltado.",Please enter '5/9' in the highlighted field.,"Por favor, ingrese '5/9' en el campo resaltado.",Please enter '5/8' in the highlighted field.,"Por favor, ingrese '5/8' en el campo resaltado.",Please enter '2/3' in the highlighted field.,"Por favor, ingrese '2/3' en el campo resaltado.",Please enter '4/5' in the highlighted field.,"Por favor, ingrese '4/5' en el campo resaltado.",Please enter '5/6' in the highlighted field.,"Por favor, ingrese '5/6' en el campo resaltado.",Please enter '5/8' in the highlighted field.,"Por favor, ingrese '5/8' en el campo resaltado.",Please enter '15/16' in the highlighted field.,"Por favor, ingrese '15 / 16 'en el campo resaltado.",Please enter '3/10' in the highlighted field.,"Por favor, ingrese '3/10' en el campo resaltado."
%(show_work_skill3_shown)%,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,Show work for remaining part,Mostrar trabajo para la parte restante,,,,,,,,,"No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto."
%(answer_skill3_shown)%,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,Solve for remaining part,Resolver para la parte restante,,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(-8988572885511253389)%,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting your previous answer from one of the givens.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(4458155188253298405)%,Please enter '7/10' in the highlighted field.,"Por favor, ingrese '7/10' en el campo resaltado.",Please enter '4/5' in the highlighted field.,"Por favor, ingrese '4/5' en el campo resaltado.",Please enter '3/4' in the highlighted field.,"Por favor, ingrese '3/4' en el campo resaltado.",Please enter '6/7' in the highlighted field.,"Por favor, ingrese '6/7' en el campo resaltado.",Please enter '3/5' in the highlighted field.,"Por favor, ingrese '3/5' en el campo resaltado.",Please enter '9/10' in the highlighted field.,"Por favor, ingrese '9/10' en el campo resaltado.",Please enter '2/3' in the highlighted field.,"Por favor, ingrese '2/3' en el campo resaltado.",Please enter '11/15' in the highlighted field.,"Por favor, ingrese '11 / 15 'en el campo resaltado.",,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.",,,,,,,,,Please enter '6-4' in the highlighted field.,"Por favor, ingrese '6-4' en el campo resaltado.",Please enter '27-15' in the highlighted field.,"Por favor, introduzca '27-15 'en el campo resaltado.",Please enter '720-450' in the highlighted field.,"Por favor, ingrese '720-450' en el campo resaltado.",Please enter '45-30' in the highlighted field.,"Por favor, introduzca '45-30 'en el campo resaltado.",Please enter '25-20' in the highlighted field.,"Por favor, introduzca '25-20 'en el campo resaltado.",Please enter '120-100' in the highlighted field.,"Por favor, ingrese '120-100' en el campo resaltado.",Please enter '32-20' in the highlighted field.,"Por favor, introduzca '32-20 'en el campo resaltado.",Please enter '400-375' in the highlighted field.,"Por favor, ingrese '400-375' en el campo resaltado.",Please enter '60-18' in the highlighted field.,"Por favor, introduzca '60-18 'en el campo resaltado."
%(8458158188149298124)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,Please enter '2' in the highlighted field.,"Por favor, ingrese '2' en el campo resaltado.",Please enter '3' in the highlighted field.,"Por favor, ingrese '3' en el campo resaltado.",Please enter '90' in the highlighted field.,"Por favor, ingrese '90' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '4' in the highlighted field.,"Por favor, ingrese '4' en el campo resaltado.",Please enter '25' in the highlighted field.,"Por favor, introduzca '25' en el campo resaltado.",Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado."
%(6458144188135298222)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(-5541900811812701631)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,Please enter '2*2 in the highlighted field.,"Por favor, ingrese '2 * 2 en el campo resaltado.",Please enter '5*3' in the highlighted field.,"Por favor, ingrese '5 * 3 en el campo resaltado.",Please enter '90*5' in the highlighted field.,"Por favor, ingrese '90 * 5 en el campo resaltado.",Please enter '15*2' in the highlighted field.,"Por favor, ingrese '15 * 2 en el campo resaltado.",Please enter '5*4' in the highlighted field.,"Por favor, ingrese '5 * 4 en el campo resaltado.",Please enter '20*5' in the highlighted field.,"Por favor, ingrese '20 * 5 en el campo resaltado.",Please enter '4*5' in the highlighted field.,"Por favor, ingrese '4 * 5 en el campo resaltado.",Please enter '25*15' in the highlighted field.,"Por favor, ingrese '25 * 15 en el campo resaltado.",Please enter '6*3' in the highlighted field.,"Por favor, ingrese '6 * 3 en el campo resaltado."
%(-8988573885515253386)%,Please enter '200-140' in the highlighted field.,"Por favor, ingrese '200-140' en el campo resaltado.",Please enter '90-72' in the highlighted field.,"Por favor, ingrese '90-72 'en el campo resaltado.",Please enter '20-15' in the highlighted field.,"Por favor, introduzca '20-15 'en el campo resaltado.",Please enter '49-42' in the highlighted field.,"Por favor, ingrese '49-42 'en el campo resaltado.",Please enter '15-9' in the highlighted field.,"Por favor, ingrese '15 -9 'en el campo resaltado.",Please enter '50-45' in the highlighted field.,"Por favor, ingrese '50-45 'en el campo resaltado.",Please enter '5478-3652' in the highlighted field.,"Por favor, ingrese '5478-3652' en el campo resaltado.",Please enter '255-187' in the highlighted field.,"Por favor, ingrese '255-187' en el campo resaltado.",,,,,,,,,Try multiplying your previous answer by the number of parts of the ride that Amy has completed.,Intente multiplicar su respuesta anterior por la cantidad de partes del viaje que Amy ha completado.,Try multiplying your previous answer by the number of parts of the problems completed.,Intente multiplicar su respuesta anterior por el número de partes de los problemas completados.,Try multiplying your previous answer by the number of parts of water already in the pool.,Intente multiplicar su respuesta anterior por la cantidad de partes de agua que ya están en la piscina.,Try multiplying your previous answer by the number of parts of the fence already painted.,Intente multiplicar su respuesta anterior por el número de partes de la cerca ya pintadas.,Try multiplying your previous answer by the number of parts of points already scored.,Intente multiplicar su respuesta anterior por el número de partes de los puntos ya anotados.,Try multiplying your previous answer by the number of parts of pounds already eaten.,Intente multiplicar su respuesta anterior por la cantidad de partes de libras que ya se comieron.,Try multiplying your previous answer by the number of parts of minutes already completed.,Intente multiplicar su respuesta anterior por la cantidad de partes de minutos ya completados.,Try multiplying your previous answer by the number of parts of copies already made.,Intente multiplicar su respuesta anterior por el número de partes de copias ya hechas.,Try multiplying your previous answer by the number of parts of brownies already made.,Intente multiplicar su respuesta anterior por la cantidad de partes de brownies ya hechas.
%(6458145188139298219)%,Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '18' in the highlighted field.,"Por favor, ingrese '18' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '7' in the highlighted field.,"Por favor, ingrese '7' en el campo resaltado.",Please enter '3' in the highlighted field.,"Por favor, ingrese '3' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '1826' in the highlighted field.,"Por favor, ingrese '1826' en el campo resaltado.",Please enter '17' in the highlighted field.,"Por favor, ingrese '17' en el campo resaltado.",,,,,,,,,Please enter '2' in the highlighted field.,"Por favor, ingrese '2' en el campo resaltado.",Please enter '12' in the highlighted field.,"Por favor, ingrese '12' en el campo resaltado.",Please enter '270' in the highlighted field.,"Por favor, introduzca '270' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '12' in the highlighted field.,"Por favor, ingrese '12' en el campo resaltado.",Please enter '25' in the highlighted field.,"Por favor, introduzca '25' en el campo resaltado.",Please enter '42' in the highlighted field.,"Por favor, ingrese '42' en el campo resaltado."
%(8458161188181298183)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado.",Please enter '27' in the highlighted field.,"Por favor, ingrese '27' en el campo resaltado.",Please enter '720' in the highlighted field.,"Por favor, ingrese '720' en el campo resaltado.",Please enter '45' in the highlighted field.,"Por favor, ingrese '45' en el campo resaltado.",Please enter '25' in the highlighted field.,"Por favor, introduzca '25' en el campo resaltado.",Please enter '120' in the highlighted field.,"Por favor, ingrese '120' en el campo resaltado.",Please enter '32' in the highlighted field.,"Por favor, introduzca '32' en el campo resaltado.",Please enter '400' in the highlighted field.,"Por favor, introduzca '400' en el campo resaltado.",Please enter '60' in the highlighted field.,"Por favor, ingrese '60' en el campo resaltado."
%(7458148188052297872)%,Please enter '20*10' in the highlighted field.,"Por favor, ingrese '20 * 10 'en el campo resaltado.",Please enter '18*5' in the highlighted field.,"Por favor, ingrese '18 * 5 'en el campo resaltado.",Please enter '5*4' in the highlighted field.,"Por favor, ingrese '5 * 4' en el campo resaltado.",Please enter '7*7' in the highlighted field.,"Por favor, ingrese '7 * 7' en el campo resaltado.",Please enter '3*5' in the highlighted field.,"Por favor, ingrese '3 * 5' en el campo resaltado.",Please enter '5*10' in the highlighted field.,"Por favor, ingrese '5 * 10' en el campo resaltado.",Please enter '1826*3' in the highlighted field.,"Por favor, ingrese '1826 * 3' en el campo resaltado.",Please enter '17*15' in the highlighted field.,"Por favor, ingrese '17 * 15 'en el campo resaltado.",,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(7458149188056297965)%,Try multiplying your previous answer by the number of parts already driven.,Intente multiplicar su respuesta anterior por el número de partes ya manejadas.,Try multiplying your previous answer by the number of total parts of his workout.,Intente multiplicar su respuesta anterior por el número total de partes de su entrenamiento.,Try multiplying your previous answer by 4.,Intente multiplicar su respuesta anterior por 4.,Try multiplying your previous answer by 7.,Intente multiplicar su respuesta anterior por 7.,Try multiplying your previous answer by 5.,Intente multiplicar su respuesta anterior por 5.,Try multiplying your previous answer by 10.,Intente multiplicar su respuesta anterior por 10.,Try multiplying your previous answer by 3.,Intente multiplicar su respuesta anterior por 3.,Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.,Intente multiplicar su respuesta anterior por el número total de partes en las que se han dividido las cajas de galletas.,,,,,,,,,Try dividing one of the givens by 3.,Intente dividir uno de los datos dados por 3.,Try dividing one of the givens by the total number of parts of the other given.,Intente dividir uno de los datos dados por el número total de partes del otro dado.,Try dividing one of the givens by the total number of parts of the other given.,Intente dividir uno de los datos dados por el número total de partes del otro dado.,Try dividing one of the givens by the total number of parts into which the fence has been divided.,Intente dividir uno de los datos por el número total de partes en las que se ha dividido la cerca.,Try dividing one of the givens by the total number of parts into which the points have been divided.,Intente dividir uno de los datos por el número total de partes en las que se han dividido los puntos.,Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.,Intente dividir uno de los datos por el número total de partes en las que se han dividido las libras de comida.,Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.,Intente dividir uno de los datos dados por el número total de partes en las que se ha dividido la longitud del taladro.,Try dividing one of the givens by the total number of parts into which the copies have been divided.,Intente dividir uno de los datos dados por el número total de partes en las que se han dividido las copias.,Try dividing one of the givens by the total number of parts into which the brownies have been divided.,Intente dividir uno de los datos por el número total de partes en las que se han dividido los brownies.
%(-5541898811816701569)%,Please enter '60' in the highlighted field.,"Por favor, ingrese '60' en el campo resaltado.",Please enter '18' in the highlighted field.,"Por favor, ingrese '18' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '7' in the highlighted field.,"Por favor, ingrese '7' en el campo resaltado.",Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '1826' in the highlighted field.,"Por favor, ingrese '1826' en el campo resaltado.",Please enter '68' in the highlighted field.,Por favor ingrese '68' en el campo resaltado.,,,,,,,,,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema
%(3458144188136298076)%,Please enter '140' in the highlighted field.,"Por favor, ingrese '140' en el campo resaltado.",Please enter '72' in the highlighted field.,"Por favor, introduzca '72' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '42' in the highlighted field.,"Por favor, ingrese '42' en el campo resaltado.",Please enter '9' in the highlighted field.,"Por favor, introduzca '9' en el campo resaltado.",Please enter '45' in the highlighted field.,"Por favor, ingrese '45' en el campo resaltado.",Please enter '3652' in the highlighted field.,"Por favor, ingrese '3652' en el campo resaltado.",Please enter '187' in the highlighted field.,"Por favor, introduzca '187' en el campo resaltado.",,,,,,,,,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema
