,6.20 Fraction Ordering,6.20 Orden de fracciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-3214654429100953105)%,4/5,4/5,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-8582199982383178206)%,Dave has eaten 6/8 of his pie.,Dave se ha comido 6/8 de su pastel.,,,,%(-4363029829069981405)%,Amount Tracy ate,Cantidad que Tracy comió,%(-3313415455745797464)%,Who ran for more hours?,¿Quién corrió por más horas?,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(5760034605052020)%,-1,-1,%(-2472956342730672996)%,Acid in Rabin's flask,Ácido en el frasco de Rabin,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-3909126612174698266)%,You are looking for,Estás buscando
%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(6912020791)%,6,6,%(-8131704712832353642)%,Compare the fraction above Which fraction is smaller?,Compara la fracción anterior ¿Qué fracción es más pequeña?,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(6400019251)%,2,2,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-8131704712832353642)%,Compare the fraction above Which fraction is smaller?,Compara la fracción anterior ¿Qué fracción es más pequeña?,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(4338154170076675066)%,Enter 8 into the box and press OK.,Ingrese 8 en el cuadro y presione OK.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.
%(-3909126612174698266)%,You are looking for,Estás buscando,%(-3994738179790399665)%,Katie's cheese weighs 2/5 of a pound.,El queso de Katie pesa 2/5 de libra.,%(-1512560051853217545)%,What is the numerator of the fraction 4/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 4/5? El numerador representa la cantidad de partes que debe contar.,%(5387793801311045450)%,"1/5. 2/5 means '2 out of 5 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/5. 2/5 significa '2 de 5 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(8492872325700691839)%,"4/12. 5/12 means '5 out of 12 equal pieces'. So start at ""0"" and then move over 5 pieces to the right.","4/12. 5/12 significa '5 de 12 piezas iguales'. Así que empieza en ""0"" y luego mueve 5 piezas hacia la derecha.",%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(8772997146038905597)%,"Look at the fraction in the problem. The denominator shows the number of %(div-h2)%, which shows the number of divisions to make.","Mira la fracción del problema. El denominador muestra el número de %(div-h2)%, que muestra el número de divisiones a realizar.",%(-962543404079237412)%,2/4,2/4,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(363804797643997528)%,"7/7. 8/7 means '8 out of 7 equal pieces'. So start at ""0"" and then move over 8 pieces to the right.","7/7. 8/7 significa '8 de 7 piezas iguales'. Así que empieza en ""0"" y luego mueve 8 piezas hacia la derecha.",%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-3909126612174698266)%,You are looking for,Estás buscando,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(6272037681056610)%,13,13,%(659473584112336867)%,10/5,10/5,%(-2088598916590095277)%,3/2,3/2,%(-2415539714698513953)%,Alicia and Christa are working on their history homework. They each finished their homework in a different amount of time. Use the number line to find out which student was working longer to finish the same homework.,Alicia y Christa están trabajando en su tarea de historia. Cada uno terminó su tarea en una cantidad de tiempo diferente. Use la recta numérica para averiguar qué estudiante estuvo trabajando más tiempo para terminar la misma tarea.
%(5760034605052020)%,-1,-1,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(-1732698135464581299)%,What is the numerator of the fraction 5/6? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 5/6? El numerador representa la cantidad de partes que debe contar.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-3909126612174698266)%,You are looking for,Estás buscando,%(7010290751899356659)%,"Lamara and Orlando bought equal-sized fish sandwiches for lunch, and they are enjoying their sandwiches together. Use the number line to find out which student ate more of their sandwich.",Lamara y Orlando compraron sándwiches de pescado del mismo tamaño para el almuerzo y están disfrutando juntos de sus sándwiches. Use la recta numérica para averiguar qué estudiante comió más de su sándwich.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(8976747979001360347)%,Divide the number line,Divide the number line,%(3670509741834149558)%,What is the numerator of the fraction 8/8? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 8/8? El numerador representa la cantidad de partes que debe contar.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-8131704712832353642)%,Compare the fraction above Which fraction is smaller?,Compara la fracción anterior ¿Qué fracción es más pequeña?,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-8131704712832353642)%,Compare the fraction above Which fraction is smaller?,Compara la fracción anterior ¿Qué fracción es más pequeña?,%(-4340709941611810969)%,5/4,5/4
%(-8131704712832353642)%,Compare the fraction above Which fraction is smaller?,Compara la fracción anterior ¿Qué fracción es más pequeña?,%(5387793801311045450)%,"1/5. 2/5 means '2 out of 5 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/5. 2/5 significa '2 de 5 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(4052575095349838122)%,Count 5 part(s) from the left and click on the spot.,Cuente 5 partes desde la izquierda y haga clic en el lugar.,%(6400019251)%,2,2,%(5760034605052020)%,-1,-1,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(5760034605052020)%,-1,-1,%(4814056714751610682)%,2/10,2/10,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(-3909126612174698266)%,You are looking for,Estás buscando,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(6272037681056610)%,13,13,%(3461894972740738571)%,11/10,11/10,%(7325697340140259277)%,"Click on the spot where ""1"" would lie on the number line.","Haga clic en el lugar donde estaría ""1"" en la recta numérica.",%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(5760034605052020)%,-1,-1,%(6912020791)%,6,6,%(-1512560051853217545)%,What is the numerator of the fraction 4/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 4/5? El numerador representa la cantidad de partes que debe contar.
%(-8857362987856178280)%,Click on the spot where the first fraction would be on this number line.,Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.,%(6400019251)%,2,2,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(4411717155798569089)%,Amount Lamara ate,Cantidad que comió Lamara,%(-7235816686433157629)%,The fraction 3/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 3/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(6000423407780999763)%,Both have eaten the same amount of their pies.,Ambos han comido la misma cantidad de pasteles.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-5660071979114725523)%,"A local charity set up a running event for fund raising and a bunch of kids signed up to help. The longer the amount of time they run, the more money their sponsors will donate.","Una organización benéfica local organizó un evento para recaudar fondos y un grupo de niños se inscribió para ayudar. Cuanto más tiempo corran, más dinero donarán sus patrocinadores.",%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(3744694093066489196)%,Russ and Jaime are buying bulk candy at the store.  The candy is sold by the pound. Use the number line to find out which student has less candy.,Russ y Jaime están comprando caramelos a granel en la tienda. El caramelo se vende por libra. Use la recta numérica para averiguar qué estudiante tiene menos dulces.,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(-1141657233537622774)%,What is the numerator of the fraction 13/7? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 13/7? El numerador representa la cantidad de partes que debe contar.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-8479704568166273208)%,Amy has been searching for 3/2 hours.,Amy ha estado buscando por 3/2 horas.,%(-7377902972848226674)%,Alicia was working longer.,Alicia trabajaba más.
%(-7084305991120181353)%,Levar and Laura are reading a novel as a class assignment. Use the number line to find out which student has read less of the novel.,Levar y Laura están leyendo una novela como tarea de clase. Utilice la recta numérica para averiguar qué estudiante ha leído menos de la novela.,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(3352540825822365648)%,Daryl built the longer paper chain.,Daryl construyó la cadena de papel más larga.,%(6890803921609961458)%,Enter 10 into the box and press OK.,,%(6400019251)%,2,2,%(-5472098835102248187)%,What is the numerator of the fraction 4/7? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 4/7? El numerador representa la cantidad de partes que debe contar.,%(-6059292701773950614)%,The fraction 2/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(2779330735511054741)%,"Jeff and Shannon are working on their math homework, but Shannon feels Jeff is going ahead too fast without giving any help! So they decided to compare their homework to see if Jeff really was going ahead. Use the number lines to find out.","Jeff y Shannon están trabajando en su tarea de matemáticas, ¡pero Shannon siente que Jeff está avanzando demasiado rápido sin dar ninguna ayuda! Así que decidieron comparar sus deberes para ver si Jeff realmente iba adelante. Usa las rectas numéricas para averiguarlo.",%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(3381468289302188301)%,Time Christin ran,El tiempo que Christin corrió,%(-4247561474956873426)%,The fraction 5/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 5/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(-7382867735157915917)%,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,%(9136503217437894547)%,The larger fraction is placed on the number line for the Acid in Jason's flask.,La fracción más grande se coloca en la recta numérica del ácido en el matraz de Jason.,%(7097310963650263285)%,Cantaloupes in Caroline's salad,Melones en ensalada de Caroline,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(4052575095349838122)%,Count 5 part(s) from the left and click on the spot.,Cuente 5 partes desde la izquierda y haga clic en el lugar.
%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(5760034605052020)%,-1,-1,%(5760034605052020)%,-1,-1,%(4052575095349838122)%,Count 5 part(s) from the left and click on the spot.,Cuente 5 partes desde la izquierda y haga clic en el lugar.,%(6400019251)%,2,2,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(5760034605052020)%,-1,-1,%(-2088598916590095275)%,3/4,3/4,%(6400019251)%,2,2,%(-6077248264049265656)%,What is the numerator of the fraction 2/8? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/8? El numerador representa la cantidad de partes que debe contar.,%(7106394807480583989)%,Trisha ran for 8/8 hours,Trisha corrió durante 8/8 horas,%(-4427206156966732069)%,Scott travels 13/10 miles to get to school.,Scott viaja 13/10 millas para llegar a la escuela.,%(-4442397175211839612)%,Who has less candy?,¿Quién tiene menos caramelos?,%(2752616756189740031)%,Pound of Dale's ground beef,Libra de carne molida de Dale,%(5471270145136839003)%,"14/8. 15/8 means '15 out of 8 equal pieces'. So start at ""0"" and then move over 15 pieces to the right.","14/8. 15/8 significa ""15 de 8 piezas iguales"". Así que empieza en ""0"" y luego mueve más de 15 piezas hacia la derecha.",%(4472674295507026445)%,The larger fraction is placed on the number line for the Cantaloupes in Caroline's salad.,La fracción más grande se coloca en la recta numérica de los melones en la ensalada de Caroline.,%(6339464738499220397)%,The fraction 3/2 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 3/2 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar."
%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(6784020404)%,5,5,%(3310995221232686752)%,Enter 6 into the box and press OK.,Ingrese 6 en el cuadro y presione OK.,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-1169012967510120363)%,5/12,5/12,%(994377413792933899)%,The fraction 4/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 4/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(6656020021)%,4,4,%(1809824234771722585)%,John swam 1/3 of a mile.,John nadó 1/3 de milla.,%(-5793732182659925252)%,Amount Heather has eaten,Cantidad que Heather ha comido,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(6400019251)%,2,2,%(7271572967824625817)%,What is the numerator of the fraction 8/7? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 8/7? El numerador representa la cantidad de partes que debe contar.,%(4052575095349838122)%,Count 5 part(s) from the left and click on the spot.,Cuente 5 partes desde la izquierda y haga clic en el lugar.,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(-8474395614452887838)%,"9/9. 10/9 means '10 out of 9 equal pieces'. So start at ""0"" and then move over 10 pieces to the right.","9/9. 10/9 significa ""10 de 9 piezas iguales"". Así que comience en ""0"" y luego mueva más de 10 piezas hacia la derecha.",%(8411680998586799216)%,Count 15 part(s) from the left and click on the spot.,Cuente 15 partes desde la izquierda y haga clic en el lugar.,%(6912020791)%,6,6,%(6400019251)%,2,2,%(-2088598916590095276)%,3/5,3/5
%(-2928480152662985173)%,What is the numerator of the fraction 1/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/4? El numerador representa la cantidad de partes que debe contar.,%(5760034605052020)%,-1,-1,%(-4340709941611810971)%,5/6,5/6,%(-7802647013513781179)%,Mile from Christian's house,Milla de la casa de Christian,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(-2893742726079715838)%,Who has eaten more of their sandwich?,¿Quién ha comido más de su sándwich?,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(5760034605052020)%,-1,-1,%(-3105554433359307927)%,Completion of Jeff's homework,Finalización de la tarea de Jeff,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(-2002310925821778899)%,Christin ran for 8/7 hours.,Christin corrió durante 8/7 horas.,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(2116289627149414867)%,The larger fraction is placed on the number line for the Pound of Dale's ground beef.,La fracción más grande se coloca en la recta numérica de la carne molida de libra de Dale.,%(659470584112336862)%,13/7,13/7,%(659472584112336873)%,11/6,11/6,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(5760034605052020)%,-1,-1
%(-2959300944996472670)%,What is the numerator of the fraction 1/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/5? El numerador representa la cantidad de partes que debe contar.,%(-5925089472894811874)%,Weight of Katie's cheese,Peso del queso de Katie,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(6656020021)%,4,4,%(5159577489875152099)%,"0/2. 1/2 means '1 out of 2 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/2. 1/2 significa '1 de 2 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(8870899445783749604)%,"Kewana and Adam are earning money by painting both sides of a fence. When it was lunch time, they decided to compare who has painted more since they started. Use the number line to find out which student has painted more of the fence.","Kewana y Adam están ganando dinero pintando ambos lados de una cerca. Cuando llegó la hora del almuerzo, decidieron comparar quién ha pintado más desde que empezaron. Use la recta numérica para averiguar qué estudiante ha pintado más de la cerca.",%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(4115817055084776896)%,Count 3 part(s) from the left and click on the spot.,Cuente 3 partes desde la izquierda y haga clic en el lugar.,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(1272232360451556734)%,Shannon did 2/9 of her problems.,Shannon resolvió 2/9 de sus problemas.,%(-8609343254099414369)%,Chris ate 2/8 of the pizza.,Chris se comió 2/8 de la pizza.,%(-1107708324842970392)%,"You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?","Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?",%(1461888972726738593)%,13/10,13/10,%(-8844931991687242505)%,9/8,9/8,%(-1970609557434607390)%,Sauce made by Dale.,Salsa elaborada por Dale.,%(5760034605052020)%,-1,-1,%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(5760034605052020)%,-1,-1,%(-3214654429100953105)%,4/5,4/5
%(6263321395122575831)%,Who has read less of the novel?,¿Quién ha leído menos de la novela?,%(-1070965139423310869)%,Franklin's cheese weighs 2/3 of a pound.,El queso de Franklin pesa 2/3 de libra.,%(3739320935718718800)%,Rashad's  paper chain is 4/5 feet long.,La cadena de papel de Rashad mide 4/5 pies de largo.,%(-6649939753184441278)%,Mile from Miranda's house,Milla de la casa de Miranda,%(-7024604805574466070)%,Nicole grew 1/2 an inch.,Nicole creció 1/2 pulgada.,%(5760034605052020)%,-1,-1,%(-3861700235891113664)%,"1/3. 2/3 means '2 out of 3 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/3. 2/3 significa '2 de 3 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(2509611935700099081)%,"Bethany and John's coach needs to pick a fast swimmer for a certain competition. The coach told each of them to swim a mile.  After some time has passed, the coach decided to check on their progress. Use the number line to help the coach see who has swum more.","El entrenador de Bethany y John necesita elegir un nadador rápido para cierta competencia. El entrenador les dijo a cada uno de ellos que nadaran una milla. Después de un tiempo, el entrenador decidió verificar su progreso. Utilice la recta numérica para ayudar al entrenador a ver quién ha nadado más.",%(4115817055084776896)%,Count 3 part(s) from the left and click on the spot.,Cuente 3 partes desde la izquierda y haga clic en el lugar.,%(5760034605052020)%,-1,-1,%(-2928480152662985173)%,What is the numerator of the fraction 1/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/4? El numerador representa la cantidad de partes que debe contar.,%(5419200876921533470)%,Time Trisha ran,El tiempo que corrió Trisha,%(8909201304627684739)%,The fraction 13/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 13/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(5797326246471141590)%,Pound of Russ's candy,Libra de caramelos de Russ,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(-6970342740599529201)%,Compare values of the fractions,Compara los valores de las fracciones,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-4167545484744068888)%,"Amy and Evan are searching for a prize that was hidden in the state park. After a long search, Evan found the prize, but not Amy. Amy is wondering whether she has not been searching long enough. Use the number line to find out.","Amy y Evan están buscando un premio que estaba escondido en el parque estatal. Después de una larga búsqueda, Evan encontró el premio, pero no Amy. Amy se pregunta si no ha estado buscando lo suficiente. Usa la recta numérica para averiguarlo.",%(-8939133738784633670)%,Hours Christa has been working,Horas que Christa ha estado trabajando
