Problem Name	IntroProblem	IntroProblemESP	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(hintMessage_4_please_enter_32_highlighted)%	Please enter '32' in the highlighted field.	Por favor, ingrese '32' en el campo resaltado.	Please enter '16590' in the highlighted field.	Por favor, ingrese '16590' en el campo resaltado.	Please enter '775' in the highlighted field.	Por favor, ingrese '775' en el campo resaltado.	Please enter '243' in the highlighted field.	Por favor, ingrese '243' en el campo resaltado.	Please enter '72' in the highlighted field.	Por favor, ingrese '72' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, ingrese '15' en el campo resaltado.	Please enter '0.12' in the highlighted field.	Por favor, ingrese '0.12' en el campo resaltado.	Please enter '36' in the highlighted field.	Por favor, ingrese '36' en el campo resaltado.	Please enter '1625' in the highlighted field.	Por favor, ingrese '1625' en el campo resaltado.	Please enter '10' in the highlighted field.	Por favor, ingrese '10' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.	Please enter '91' in the highlighted field.	Por favor, ingrese '91' en el campo resaltado.	Please enter '2022' in the highlighted field.	Por favor, ingrese '2022' en el campo resaltado.	Please enter '710' in the highlighted field.	Por favor, ingrese '710' en el campo resaltado.	Please enter '1300000' in the highlighted field.	Por favor, ingrese '1300000' en el campo resaltado.	Please enter '1980' in the highlighted field.	Por favor, ingrese '1980' en el campo resaltado.	Please enter '10' in the highlighted field.	Por favor, ingrese '10' en el campo resaltado.	Please enter '48.45' in the highlighted field.	Por favor, ingrese '48 .45 'en el campo resaltado.	Please enter '105' in the highlighted field.	Por favor, ingrese '105' en el campo resaltado.	Please enter '189' in the highlighted field.	Por favor, ingrese '189' en el campo resaltado.	Please enter '30' in the highlighted field.	Por favor, ingrese '30' en el campo resaltado.	Please enter '168' in the highlighted field.	Por favor, ingrese '168' en el campo resaltado.	Please enter '5.25' in the highlighted field.	Por favor, ingrese '5.25' en el campo resaltado.
%(hintMessage_15_denominator_multiple_factor_one)%	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?	Is the denominator a multiple or a factor of one hundred?	¿Es el denominador un múltiplo o un factor de cien?
%(hintMessage_22_fill_section_using_information)%	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.	Fill out this section using the information you filled out above.	Complete esta sección con la información que completó anteriormente.
%(hintMessage_110_number_senior_pictures_representing)%	What number of the senior pictures are you representing in the numerator of this fraction?	¿Qué número de dibujos de personas mayores estás representando en el numerador de esta fracción?	Which part of the population are you representing in the numerator of this fraction?	¿Qué parte de la población representas en el numerador de esta fracción?	Which part of the journey are you representing in the numerator of this fraction?	¿Qué parte del viaje representas en el numerador de esta fracción?	What part of the carpet installation are you representing in the numerator of this fraction?	¿Qué parte de la instalación de la alfombra representa en el numerador de esta fracción?	What part of Albert's reading are you representing in the numerator of this fraction?	¿Qué parte de la lectura de Albert representas en el numerador de esta fracción?	What part of the radio program are you representing in the numerator of this fraction?	¿Qué parte del programa de radio representas en el numerador de esta fracción?	What part of the total order are you representing in the numerator of this fraction?	¿Qué parte del orden total representas en el numerador de esta fracción?	Which participants in the poll are you representing in the numerator of this fraction?	¿A qué participantes de la encuesta representas en el numerador de esta fracción?	Which viewers are you trying to represent in the numerator of this fraction?	¿Qué espectadores intenta representar en el numerador de esta fracción?	Which gold medalists are you trying to represent in the numerator of this fraction?	¿Qué medallistas de oro estás tratando de representar en el numerador de esta fracción?	Which part of the student's shift are you trying to represent as the numerator of this fraction?	¿Qué parte del turno del estudiante estás tratando de representar como numerador de esta fracción?	Which quantity of the wrapping paper represents the numerator of this fraction?	¿Qué cantidad de papel de regalo representa el numerador de esta fracción?	How many minutes of the movie represents the numerator of this fraction?	¿Cuántos minutos de la película representa el numerador de esta fracción?	What number of  yawns represents the numerator of this fraction?	¿Qué número de bostezos representa el numerador de esta fracción?	What part of Joan's salary is represented as the numerator of this fraction?	¿Qué parte del salario de Joan se representa como el numerador de esta fracción?	What part of the poll is going to be represented as the numerator of this fraction?	¿Qué parte de la encuesta se representará como numerador de esta fracción?	What part of the survey is going to be represented as the numerator of this fraction?	¿Qué parte de la encuesta se representará como numerador de esta fracción?	What part of the student body is being represented as the numerator of this fraction?	¿Qué parte del alumnado se representa como numerador de esta fracción?	Which price represents the numerator of this fraction?	¿Qué precio representa el numerador de esta fracción?	Which amount is the numerator of this fraction?	¿Qué cantidad es el numerador de esta fracción?	How many people represent the numerator of this fraction?	¿Cuántas personas representan el numerador de esta fracción?	What part of the math problems are you representing as the numerator of this fraction?	¿Qué parte de los problemas de matemáticas representas como numerador de esta fracción?	What part of Alex's score will be represented as the numerator of this fraction?	¿Qué parte de la puntuación de Alex se representará como el numerador de esta fracción?	Which value represents the numerator of the fraction?	¿Qué valor representa el numerador de la fracción?
%(hintMessage_75_multiplying_50_2_changes)%	Multiplying 50 by 2 changes it to 100.	Multiplicar 50 por 2 lo cambia a 100.	Dividing 21000 by 210 changes it to 100.	Dividir 21000 por 210 lo cambia a 100.	Dividing 5000 by 50 changes it to 100.	Dividir 5000 por 50 lo cambia a 100.	Dividing 300 by 3 changes it to 100.		Dividing 200 by 2 changes it to 100.	Dividir 200 entre 2 lo cambia a 100.	Multiplying 75 by 0 changes it to 100.	Multiplicar 75 por 0 lo cambia a 100.	Multiplying 8 by 0 changes it to 100.	Multiplicar 8 por 0 lo cambia a 100.	Dividing 400 by 4 changes it to 100.	Dividir 400 entre 4 lo cambia a 100.	Dividing 25000 by 250 changes it to 100.	Dividir 25000 por 250 lo cambia a 100.	Multiplying 80 by  changes it to 100.	Multiplicar 80 por lo cambia a 100.	Multiplying 5 by 20 changes it to 100.	Multiplicar 5 por 20 lo cambia a 100.	Multiplying 25 by 4 changes it to 100.	Multiplicar 25 por 4 lo cambia a 100.	Multiplying 130 by 0 changes it to 100.	Multiplicar 130 por 0 lo cambia a 100.	Dividing 2400 by 24 changes it to 100.	Dividir 2400 entre 24 lo cambia a 100.	Dividing 2000 by 20 changes it to 100.	Dividir 2000 entre 20 lo cambia a 100.	Dividing 2000000 by 20000 changes it to 100.	Dividir 2000000 por 20000 lo cambia a 100.	Dividing 6000 by 60 changes it to 100.	Dividir 6000 entre 60 lo cambia a 100.	Dividing 500 by 5 changes it to 100.	Dividir 500 entre 5 lo cambia a 100.	Multiplying 85 by  changes it to 100.	Multiplicar 85 por lo cambia a 100.	Dividing 1500 by 15 changes it to 100.	Dividir 1500 entre 15 lo cambia a 100.	Dividing 300 by 3 changes it to 100.		Multiplying 240 by  changes it to 100.	Multiplicar 240 por lo cambia a 100.	Multiplying 175 by  changes it to 100.	Multiplicar 175 por lo cambia a 100.	Multiplying 35 by  changes it to 100.	Multiplicar 35 por lo cambia a 100.
%(hintMessage_11_enter_lowercase_letter_represent)%	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.	Enter a lowercase letter to represent the unknown value.	Ingrese una letra minúscula para representar el valor desconocido.
%(buggyMessage_33_please_enter_lowercase_letter)%	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.	Please enter a lowercase letter.	Por favor, ingrese una letra minúscula.
%(buggyMessage_19_sure_correct_numerator)%	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?	Are you sure this is the correct numerator?	¿Estás seguro de que este es el numerador correcto?
%(hintMessage_12_choose_letter_z)%	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.	Choose any letter from a to z.	Elija cualquier letra de la a a la z.
%(hintMessage_29_final_percentage_represents_fraction)%	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?	What is the final percentage that represents the fraction on the left?	¿Cuál es el porcentaje final que representa la fracción de la izquierda?
%(hintMessage_51_result_32_100)%	What is the result of 32 * 100?	¿Cuál es el resultado de 32 * 100?	What is the result of 16590 * 100?	¿Cuál es el resultado de 16590 * 100?	What is the result of 775 * 100?	¿Cuál es el resultado de 775 * 100?	What is the result of 243 * 100?	¿Cuál es el resultado de 243 * 100?	What is the result of 72 * 100?	¿Cuál es el resultado de 72 * 100?	What is the result of 15 * 100?	¿Cuál es el resultado de 15 * 100?	What is the result of 0.12 * 100?	¿Cuál es el resultado de 0,12 * 100?	What is the result of 36 * 100?	¿Cuál es el resultado de 36 * 100?	What is the result of 1625 * 100?	¿Cuál es el resultado de 1625 * 100?	What is the result of 10 * 100?	¿Cuál es el resultado de 10 * 100?	What is the result of 2 * 100?	¿Cuál es el resultado de 2 * 100?	What is the result of 18 * 100?	¿Cuál es el resultado de 18 * 100?	What is the result of 91 * 100?	¿Cuál es el resultado de 91 * 100?	What is the result of 2022 * 100?	¿Cuál es el resultado de 2022 * 100?	What is the result of 710 * 100?	¿Cuál es el resultado de 710 * 100?	What is the result of 1300000 * 100?	¿Cuál es el resultado de 1300000 * 100?	What is the result of 1980 * 100?	¿Cuál es el resultado de 1980 * 100?	What is the result of 10 * 100?	¿Cuál es el resultado de 10 * 100?	What is the result of 48.45 * 100?	¿Cuál es el resultado de 48,45 * 100?	What is the result of 105 * 100?	¿Cuál es el resultado de 105 * 100?	What is the result of 189 * 100?	¿Cuál es el resultado de 189 * 100?	What is the result of 30 * 100?	¿Cuál es el resultado de 30 * 100?	What is the result of 168 * 100?	¿Cuál es el resultado de 168 * 100?	What is the result of 5.25 * 100?	¿Cuál es el resultado de 5.25 * 100?
%(hintMessage_34_percentage_pictures_kelly_give)%	What percentage of the pictures did Kelly give to her family? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de las fotografías le dio Kelly a su familia? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the citizens took part in the activity? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de ciudadanos participó en la actividad? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the distance has Timothy already covered? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de la distancia ya ha cubierto Timothy? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the carpeting has Ed already installed in his house? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de la alfombra ya ha instalado Ed en su casa? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the book did Albert already read? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del libro ya leyó Albert? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the entire program is the length of one story?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del programa completo tiene la longitud de una historia? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the original price did the shop return to Jane?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del precio original le devolvió la tienda a Jane? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the individuals answered the question correctly?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de las personas respondió correctamente a la pregunta? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the viewers have won the contest in the last 15 years?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de espectadores ha ganado el concurso en los últimos 15 años? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the gold medalists were from team USA?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los medallistas de oro eran del equipo de Estados Unidos? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the time does the student spend doing dishes?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del tiempo pasa el alumno lavando platos? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the wrapping paper was used to wrap the present?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del papel de regalo se utilizó para envolver el presente? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the movie has Emily seen?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de la película ha visto Emily? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of secondary yawns did Ashley see?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de bostezos secundarios vio Ashley? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of Joan's salary went to taxes?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del salario de Joan se destinó a impuestos? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the citizens in the poll approved of the president's performance?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los ciudadanos en la encuesta aprobó el desempeño del presidente? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the adults regularly participated in physical activities?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los adultos participaron regularmente en actividades físicas? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the students tried the healthy meal?  If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los estudiantes probó la comida saludable? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the total price does the clearance price represent? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del precio total representa el precio de liquidación? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the original price did you save by not paying tax? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje del precio original ahorró al no pagar impuestos? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the customers agreed to buy the company's products? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los clientes accedió a comprar los productos de la empresa? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage of the math problems in the competition were geometry problems? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de los problemas de matemáticas en la competencia fueron problemas de geometría? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage was Alex's test score? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje fue el puntaje de la prueba de Alex? Si no está seguro, consulte el área de resolución de proporciones opcional.	What percentage tip did the waiter receive? If you aren't sure, check the optional proportion solving area.	¿Qué porcentaje de propina recibió el camarero? Si no está seguro, consulte el área de resolución de proporciones opcional.
