Problem Name	00bubble	00bubbleESP	01book	01bookESP	02cheese	02cheeseESP	03chain	03chainESP	04school	04schoolESP	05height	05heightESP	06fence	06fenceESP	07sandwich	07sandwichESP	08swim	08swimESP	09pie	09pieESP	10homework	10homeworkESP	11pizza	11pizzaESP	12charity	12charityESP	13school	13schoolESP	14candy	14candyESP	15sauce	15sauceESP	16chemistry	16chemistryESP	17salad	17saladESP	18prize	18prizeESP	19history	19historyESP
%(hintMessage_3_enter_den1_box_press)%	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 6 into the box and press OK.	Ingrese 6 en el cuadro y presione OK.	Enter 10 into the box and press OK.	[CTAT]NAN	Enter 12 into the box and press OK.	Ingrese 12 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 10 into the box and press OK.	[CTAT]NAN	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 8 into the box and press OK.	Ingrese 8 en el cuadro y presione OK.	Enter 7 into the box and press OK.	Ingrese 7 en el cuadro y presione OK.	Enter 10 into the box and press OK.	[CTAT]NAN	Enter 8 into the box and press OK.	Ingrese 8 en el cuadro y presione OK.	Enter 9 into the box and press OK.	Ingrese 9 en el cuadro y presione OK.	Enter 8 into the box and press OK.	Ingrese 8 en el cuadro y presione OK.	Enter 6 into the box and press OK.	Ingrese 6 en el cuadro y presione OK.	Enter 2 into the box and press OK.	Ingrese 2 en el cuadro y presione OK.	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.
%(hintMessage_4_click_spot_first_fraction)%	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.	Click on the spot where the first fraction would be on this number line.	Haga clic en el lugar donde estaría la primera fracción en esta recta numérica.
%(hintMessage_5_numerator_fraction_frac1_numerator)%	What is the numerator of the fraction 1/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/4? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 5/6? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 5/6? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 4/10? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 4/10? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 5/12? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 5/12? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 3/10? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 3/10? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 3/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 3/4? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/8? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/8? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 8/7? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 8/7? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 13/10? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 13/10? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 9/8? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 9/8? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 10/9? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 10/9? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 15/8? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 15/8? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 11/6? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 11/6? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 3/2? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 3/2? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 5/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 5/4? El numerador representa la cantidad de partes que debe contar.
%(hintMessage_6_count_num1_parts_left)%	Count - part(s) from the left and click on the spot.	[google]Conte - Parte (s) desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 5 part(s) from the left and click on the spot.	Cuente 5 partes desde la izquierda y haga clic en el lugar.	Count 4 part(s) from the left and click on the spot.	Cuente 4 partes desde la izquierda y haga clic en el lugar.	Count 5 part(s) from the left and click on the spot.	Cuente 5 partes desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 3 part(s) from the left and click on the spot.	Cuente 3 partes desde la izquierda y haga clic en el lugar.	Count 3 part(s) from the left and click on the spot.	Cuente 3 partes desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 8 part(s) from the left and click on the spot.	Cuente 8 partes desde la izquierda y haga clic en el lugar.	Count 13 part(s) from the left and click on the spot.	Cuente 13 partes desde la izquierda y haga clic en el lugar.	Count 9 part(s) from the left and click on the spot.	Cuente 9 partes desde la izquierda y haga clic en el lugar.	Count 10 part(s) from the left and click on the spot.	Cuente 10 partes desde la izquierda y haga clic en el lugar.	Count 15 part(s) from the left and click on the spot.	Cuente 15 partes desde la izquierda y haga clic en el lugar.	Count 11 part(s) from the left and click on the spot.	Cuente 11 partes desde la izquierda y haga clic en el lugar.	Count 3 part(s) from the left and click on the spot.	Cuente 3 partes desde la izquierda y haga clic en el lugar.	Count 5 part(s) from the left and click on the spot.	Cuente 5 partes desde la izquierda y haga clic en el lugar.
%(hintMessage_13_choose_correct_statement_choices)%	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?	Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?	Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?
%(hintMessage_14_looking_fraction_smallbig_look)%	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?	You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?	Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?	You are looking for the fraction that is larger. Look at the fractions you placed on the number lines, which one is larger?	Estás buscando la fracción que sea más grande. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más grande?
%(hintMessage_16_click_highlighted_element_select)%	Click on the highlighted element and select 'Jill lives closer to Ted.'	[google]Haga clic en el elemento resaltado y seleccione 'Jill vive más cerca de Ted'.	Click on the highlighted element and select 'Laura has read less of the novel.'	[google]Haga clic en el elemento resaltado y seleccione 'Laura ha leído menos de la novela'.	Click on the highlighted element and select 'No. Katie is not right. The piece of cheese Franklin brought is heavier.'	[google]Haga clic en el elemento resaltado y seleccione 'No. Katie no tiene razón. El trozo de queso que trajo Franklin es más pesado.	Click on the highlighted element and select 'Daryl built the longer paper chain.'	[google]Haga clic en el elemento resaltado y seleccione 'Daryl construido la cadena de papel más larga'.	Click on the highlighted element and select 'Both live the same distance from the school.'	[google]Haga clic en el elemento resaltado y seleccione 'Ambos viven la misma distancia de la escuela'.	Click on the highlighted element and select 'Nicole grew more.'	[google]Haga clic en el elemento resaltado y seleccione 'Nicole creció más'.	Click on the highlighted element and select 'Kewana painted more fence.'	[google]Haga clic en el elemento resaltado y seleccione 'Kewana pintada más cerca'.	Click on the highlighted element and select 'Lamara ate more of his sandwich.'	[google]Haga clic en el elemento resaltado y seleccione 'Lamara comió más de su sándwich'.	Click on the highlighted element and select 'Coach should choose John.'	[google]Haga clic en el elemento resaltado y seleccione 'Coach debe elegir John'.	Click on the highlighted element and select 'Both have eaten the same amount of their pies.'	[google]Haga clic en el elemento resaltado y seleccione 'Ambos han comido la misma cantidad de sus pasteles'.	Click on the highlighted element and select 'Yes; Jeff was going ahead with the homework.'	[google]Haga clic en el elemento resaltado y seleccione 'Sí; Jeff seguía adelante con la tarea.	Click on the highlighted element and select 'Both ate the same amount of their pizza.'	[google]Haga clic en el elemento resaltado y seleccione 'Ambos comieron la misma cantidad de su pizza'.	Click on the highlighted element and select 'Christin ran more hours.'	[google]Haga clic en el elemento resaltado y seleccione 'Christin corrió más horas'.	Click on the highlighted element and select 'No; Scott is wrong. It is Greg who lives father away.'	[google]Haga clic en el elemento resaltado y seleccione 'No; Scott está equivocado. Es Greg quien vive al padre.	Click on the highlighted element and select 'Jaime has less candy.'	[google]Haga clic en el elemento resaltado y seleccione 'Jaime tiene menos dulces'.	Click on the highlighted element and select 'Sauce made by Dale.'	[google]Haga clic en el elemento resaltado y seleccione 'Salsa hecha por Dale'.	Click on the highlighted element and select 'No; Jason actually has more acid.'	[google]error	Click on the highlighted element and select 'Charlie should eat the salad made by Caroline.'	[google]error	Click on the highlighted element and select 'Both of them were searching for the same amount of time.'	[google]error	Click on the highlighted element and select 'Alicia was working longer.'	[google]Haga clic en el elemento resaltado y seleccione 'Alicia estaba funcionando más tiempo'.
%(hintMessage_17_done_click_done_button)%	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."	"You are done! Click on the ""done"" button to finish."	"¡Estás listo! Haga clic en el botón ""listo"" para terminar."
%(hintMessage_18_please_provide_answer_no_value)%	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.
%(hintMessage_19_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
%(hintMessage_21_many_divh1_enter_number)%	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.	Into how many %(div-h1)% Enter the number and click OK.	En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.
